StudentID Sub1Marks Sub2Marks Sub3Marks Sub4Marks Sub5Marks
1 65 91 74 97 18
2 43 61 24 74 6
3 10 63 86 85 39
4 39 60 59 42 9
5 27 71 33 52 99
6 61 89 16 48 65
7 54 59 5 38 54
8 81 72 37 82 58
9 98 98 94 18 14
10 47 87 4 8 42
11 26 70 32 76 43
12 74 13 13 21 21
13 72 82 68 53 69
14 57 98 16 24 4
15 50 47 36 83 91
16 47 8 67 72 63
17 93 55 31 30 73
18 1 12 79 18 80
19 42 54 35 85 3
20 55 53 26 48 71
21 75 44 19 13 37
22 2 44 90 31 76
23 53 52 41 38 89
24 48 89 81 55 42
25 47 48 56 66 44
26 82 62 86 99 39
27 42 53 82 53 18
28 12 63 46 29 56
29 62 7 1 56 50
30 61 36 84 79 14
31 84 46 57 8 31
32 92 48 95 37 80
33 14 87 93 65 83
34 68 95 47 27 35
35 89 79 34 88 29
36 49 87 56 12 23
37 36 75 2 25 65
38 100 32 22 38 36
39 17 98 60 30 36
40 35 24 25 42 61
41 67 65 65 91 83
42 71 56 76 31 19
43 51 7 80 81 8
44 17 98 10 9 83
45 79 94 19 35 53
46 7 44 69 24 94
47 60 39 3 18 27
48 91 54 68 36 19
49 53 44 8 94 34
50 80 35 7 96 64
51 7 78 71 92 19
52 36 73 73 16 66
53 43 47 48 22 2
54 47 75 35 46 58
55 89 11 81 18 54
56 59 2 13 29 34
57 49 12 48 6 17
58 2 65 46 56 20
59 45 9 56 9 6
60 68 65 32 35 73
61 25 18 64 35 30
62 87 86 69 95 99
63 95 18 72 36 60
64 57 1 18 68 14
65 49 90 41 23 93
66 51 25 14 18 47
67 2 56 30 65 76
68 100 22 8 49 23
69 72 38 13 100 22
70 41 16 4 46 26
71 59 10 25 86 26
72 27 31 41 37 77
73 82 87 3 72 26
74 35 1 100 11 2
75 49 65 3 52 22
76 5 6 72 46 14
77 74 95 36 52 51
78 85 35 73 60 39
79 64 37 75 78 33
80 52 61 34 48 37
81 7 63 21 2 21
82 90 6 85 81 38
83 6 69 15 80 95
84 42 72 29 68 80
85 5 28 24 54 20
86 36 21 70 3 42
87 31 72 83 6 64
88 18 7 76 93 40
89 7 92 52 33 21
90 17 24 54 44 46
91 14 91 78 41 80
92 86 90 23 21 37
93 9 4 53 86 74
94 93 83 53 65 30
95 5 58 67 60 27
96 43 32 19 96 79
97 56 73 86 17 29
98 46 57 29 61 3
99 94 64 90 51 72
100 83 97 44 84 93
101 7 3 78 8 70
102 13 11 44 80 20
103 28 58 44 73 70
104 51 79 30 57 68
105 86 19 71 63 54
106 30 39 8 2 83
107 80 46 8 60 37
108 37 87 31 76 73
109 56 99 10 72 67
110 80 87 49 47 75
111 1 22 70 89 97
112 8 94 45 65 51
113 42 21 64 48 48
114 35 96 41 67 63
115 85 69 16 21 15
116 3 1 14 55 53
117 22 47 20 68 48
118 76 15 52 29 58
119 99 37 40 90 46
120 99 6 3 27 24
